Kabupaten/Kota;P0;Air Minum Layak;Bayi Gizi Kurang;Pengguna PLN
Banjarnegara;15.64;85.54;2212;99.48
Banyumas;13.26;92.80;3773;99.92
Batang;9.13;98.09;3782;99.45
Blora;11.96;92.41;6472;99.97
Boyolali;10.18;95.08;2379;99.72
Brebes;17.03;93.17;8125;99.85
Cilacap;11.46;93.02;5878;99.76
Demak;12.54;96.30;6026;100.00
Grobogan;12.46;81.60;2907;99.91
Jepara;7.17;83.61;6367;100.00
Karanganyar;10.28;98.53;2506;99.81
Kebumen;17.59;88.16;6162;99.66
Kendal;9.99;95.78;990;99.91
Klaten;12.89;97.83;5416;99.49
Kudus;7.31;98.32;2567;99.73
Magelang;11.27;90.51;2599;99.81
Pati;10.08;94.97;4615;99.91
Pekalongan;10.19;97.14;2153;100.00
Pemalang;16.02;92.85;1024;99.87
Purbalingga;15.90;94.51;2731;99.85
Purworejo;11.78;86.82;1168;99.83
Rembang;15.60;96.57;1691;99.83
Semarang;7.51;98.22;2137;100.00
Sragen;13.38;98.15;3117;99.76
Sukoharjo;7.68;99.27;863;100.00
Tegal;8.14;96.80;6458;100.00
Temanggung;9.96;92.81;1000;99.74
Wonogiri;10.86;96.84;639;100.00
Wonosobo;17.36;97.74;1429;100.00
Kota Magelang;7.58;100.00;179;100.00
Kota Pekalongan;7.17;99.90;989;99.83
Kota Salatiga;4.94;99.12;81;100.00
Kota Semarang;4.34;98.90;920;100.00
Kota Surakarta;9.03;99.40;243;99.89
Kota Tegal;7.80;99.89;1051;99.87